,,,Salary,Salary,Salary,Salary,Salary,Salary,,
275,Patrick Patterson\pattepa01,LAC,$3814768,$737066,,,,,Non Bird,$3077701
276,Donte DiVincenzo\divindo01,MIL,$3044160,$4675830,,,,,1st Round Pick,$7719990
277,Michael Carter-Williams\cartemi01,ORL,$3000000,$3000000,,,,,Early Bird,$6000000
278,Khem Birch\birchkh01,ORL,$3000000,,,,,,Early Bird Rights,$3000000
279,Ryan Arcidiacono\arcidry01,CHI,$3000000,$3000000,,,,,Cap space,$3000000
280,Aleksej Pokusevski\pokusal01,OKC,$2964840,$3113160,$3261480,$5009633,,,1st Round Pick,$6078000
281,Goga Bitadze\bitadgo01,IND,$2957520,$3098400,$4765339,,,,1st Round Pick,$6055920
282,Lonnie Walker\walkelo01,SAS,$2892000,$4447896,,,,,1st Round Pick,$7339896
283,Dewayne Dedmon\dedmode01,DET,$2866667,$2866667,$2866667,$2866667,$2866667,,,$14333335
284,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,,,,$11377716
285,Luka Šamanić\samanlu01,SAS,$2824320,$2959080,$4556983,,,,1st Round Pick,$5783400
286,Josh Green\greenjo02,DAL,$2816760,$2957520,$3098400,$4765339,,,1st Round Pick,$5774280
287,Kevin Huerter\huertke01,ATL,$2761920,$4253357,,,,,1st Round Pick,$7015277
288,Marko Guduric\gudurma01,MEM,$2750000,,,,,,,$2750000
